movieId,avg_rating,num_ratings
59315,4.833333333333333,3
89745,4.666666666666667,3
122886,4.666666666666667,3
3255,4.333333333333333,3
109487,4.2,5
2959,4.166666666666667,3
5618,4.166666666666667,3
6874,4.166666666666667,3
2571,4.125,4
3578,3.8333333333333335,3
139642,3.8333333333333335,3
187541,3.8333333333333335,3
196997,3.8333333333333335,3
4447,3.6666666666666665,3
79091,3.6666666666666665,3
4993,3.5,3
8984,3.5,3
122912,3.5,3
4896,3.0,3
8961,2.8333333333333335,3
58559,2.5,3
32587,2.3333333333333335,3
